vente_article_id;contrat_num;article_type_code;reference_article_magasin;prix_vente_final;qte_vente;taux_commission;prix_net_deposant;magasin_code;vente_num;prix_vente_total;date_cloture_vente;date_reglement;reglement_deposant_id;prix_reglee;prix_deposant;prix_com;taux_assurance;contact_num;taux_tva;prix_a_reglee;reglee;libelle;STATUS
D33LAT-154675;000215;DEPOT;000215-5;20;1;0.5;0;D33LAT;0000002800;20;20151015;20151115;1510251217529;0;10;10;0;D33LAT-19800725;0.2;20;0;PONCEUSE KLETT TRIANGULAIRE;C
D33LAT-154676;000279;DEPOT;000279-2;8;1;0.5;0;D33LAT;0000002800;8;20151015;20151115;151025121732;0;4;4;0;D33LAT-11500298;0.2;8;0;Abat jour rouge octo;C
D33LAT-154677;1502238;DEPOT;11510734;1;2;0.2;0;D33LAT;0000002801;2;20151015;20151115;15102512171200;0;1.6;0.4;0;D33LAT-19800369;0.2;2;0;DVD FILM ;C
D33LAT-154678;000304;DEPOT;000304-6;20;1;0.5;0;D33LAT;0000002802;20;20151015;20151115;1510251217317;0;10;10;0;D33LAT-10100548;0.2;20;0;RADIATEUR ELEC CALOR;C
D33LAT-154680;000427;DEPOT;000427-39;3;1;0.38;0;D33LAT;0000002804;3;20151015;20151115;1510251217698;0;1.86;1.14;0;D33LAT-10600207;0.2;3;0;E428 porte rouleaux;C
D33LAT-154681;000386;DEPOT;000386-1;20;1;0.5;0;D33LAT;0000002805;20;20151015;20151115;1510251217934;0;10;10;0;D33LATDU50693;0.2;20;0;Bureau verre / metal noir;C
D33LAT-154682;1501680;DEPOT;11508077;25;1;0.38;0;D33LAT;0000002806;25;20151015;20151115;15102512171291;0;15.5;9.5;0;D33LAT-10600207;0.2;25;0;A107 MIROIR RECT GM ;C
D33LAT-154687;1501348;DEPOT;11506427;2;1;0.38;0;D33LAT;0000002808;2;20151015;20151115;15102512171090;0;1.24;0.76;0;D33LAT-10600207;0.2;2;0;A320 PILE BOUTON ;C
D33LAT-154688;000427;DEPOT;000427-32;3.5;1;0.38;0;D33LAT;0000002808;3.5;20151015;20151115;1510251217698;0;2.17;1.33;0;D33LAT-10600207;0.2;3.5;0;D435-moule à tarte;C
D33LAT-154691;1502153;DEPOT;11510421;3;1;0.4;0;D33LAT;0000002811;3;20151015;20151115;1510251217680;0;1.8;1.2;0;D33LAT-11300406;0.2;3;0;SEAU A GLACE ;C
D33LAT-154694;000032;DEPOT;000032-1;40;1;0.5;0;D33LAT;0000002814;40;20151015;20151115;15102512171189;0;17;17;0;D33LAT-10401586;0.2;34;0;Cage a lapin gm
gris blc;C
D33LAT-154695;1502227;DEPOT;11510698;214.5;1;0.47331;0;D33LAT;0000002815;214.5;20151015;20151115;1510251217421;0;112.98;101.52;0;D33LAT-11200044;0.2;214.5;0;BANQUETTE CUIR MARRON 2P;C
D33LAT-154696;1502549;DEPOT;11512187;2;1;0.4;0;D33LAT;0000002816;2;20151015;20151115;1510251217316;0;0.84;0.56;0;D33LAT-11300406;0.2;1.4;0;USTENSILE SILICONE ;C
D33LAT-154698;000420;DEPOT;000420-35;30;1;0.4;0;D33LAT;0000002818;30;20151015;20151115;15102512171222;0;18;12;0;D33LAT-11300406;0.2;30;0;Chaise prieur ;C
D33LAT-154699;1300617;DEPOT;11303619;7;1;0.3;0;D33LAT;0000002819;7;20151015;20151115;1510251217165;0;4.9;2.1;0;D33LAT-11200450;0.2;7;0;SGC3- CABLE GUITARE 3 MÈTRES;C
